No,Bulan,Bintang 5,Bintang 4,Bintang 3,Bintang 2,Bintang 1,Melati 3,Melati 2,Melati 1,Losmen/Penginapan/Rumah Kost,Total
1,Januari,10090687120,11946833757,5483442075,2112992152,99539567,2764219034,709964152,678925117,417132767,34303735741
2,Februari,6487081967,6494994423,3198293766,1238528177,81139231,1826602131,503365608,451841333,402573613,20684420249
3,Maret,5965363961,6855917664,3541298644,1183728438,59277934,1741801495,543310626,430979816,416611695,20738290273
4,April,6842785960,8191107343,4063414803,1477018282,72546405,1919441594,560576094,467442273,451542935,24045875689
5,Mei,6455421232,9216583355,3818511790,1486883267,100281383,1968508531,569884838,454627136,425551469,24496253001
6,Juni,4268041347,7535218226,3197500541,1065117024,73171502,1519364978,459147035,341867418,385863881,18845291952
7,Juli,7249165805,7388223098,3490826877,1377129303,45680101,1902773459,576444935,474790393,459765744,22964799715
8,Agustus,7968251293,10230221119,4444130865,1694608914,194404092,2096406750,609038256,473230329,426738799,28137030417
9,September,7043077928,8982972769,4169850519,1642746198,101131887,1857899626,581314743,482811958,421718304,25283523932
10,Oktober,7242451785,9468970759,3884870232,1539867694,63457718,1845945153,518853995,502094801,434637206,25501149343
11,November,7069822135,11313348273,3946743880,1593892764,117144267,1795321529,555920009,476058725,442013503,27310265085
12,Desember,7644247549,10899337817,4550013572,1738155142,109585997,2000125693,587993796,487410991,428040479,28444911036
