No,Bulan,Rumah Makan (Rp),Restoran (Rp),Katering (Rp)
1,Januari,258854657,28070016908,359337399
2,Februari,127311354,24759207600,338350638
3,Maret,210799525,22403296182,665359915
4,April,222296193,25191092126,914595827
5,Mei,68824110,24299397186,1088677098
6,Juni,78182635,24320956935,520035957
7,Juli,178780519,30954265038,903935006
8,Agustus,133047488,26585487220,1171557418
9,September,172880116,26487678582,982996787
10,Oktober,181886201,25621026660,1103460468
11,November,266208947,25480128896,1224974773
12,Desember,203587950,26633868652,3179229060
