No,Bulan,Eksekutif,Bisnis,Ekonomi,Total,Asal
1,Januari,206899,18808,286635,512342," DAOP 1 (Jakarta), DAOP 3 (Cirebon), DAOP 4 (Semarang) , DAOP 5 (Purwokerto), DAOP 6 (Yogyakarta), DAOP 7 (Madiun),  DAOP 8 (Surabaya), DAOP 9 (Jember)  "
2,Februari,181275,14286,230985,426546," DAOP 1 (Jakarta), DAOP 3 (Cirebon), DAOP 4 (Semarang) , DAOP 5 (Purwokerto), DAOP 6 (Yogyakarta), DAOP 7 (Madiun),  DAOP 8 (Surabaya), DAOP 9 (Jember)  "
3,Maret ,205587,15111,248665,469363," DAOP 1 (Jakarta), DAOP 3 (Cirebon), DAOP 4 (Semarang) , DAOP 5 (Purwokerto), DAOP 6 (Yogyakarta), DAOP 7 (Madiun),  DAOP 8 (Surabaya), DAOP 9 (Jember)  "
4,April,204082,8879,253299,466260," DAOP 1 (Jakarta), DAOP 3 (Cirebon), DAOP 4 (Semarang) , DAOP 5 (Purwokerto), DAOP 6 (Yogyakarta), DAOP 7 (Madiun),  DAOP 8 (Surabaya), DAOP 9 (Jember)  "
5,Mei,183141,6874,196554,386569," DAOP 1 (Jakarta), DAOP 3 (Cirebon), DAOP 4 (Semarang) , DAOP 5 (Purwokerto), DAOP 6 (Yogyakarta), DAOP 7 (Madiun),  DAOP 8 (Surabaya), DAOP 9 (Jember)  "
6,Juni,214369,23738,307585,545692," DAOP 1 (Jakarta), DAOP 3 (Cirebon), DAOP 4 (Semarang) , DAOP 5 (Purwokerto), DAOP 6 (Yogyakarta), DAOP 7 (Madiun),  DAOP 8 (Surabaya), DAOP 9 (Jember)  "
7,Juli,203503,12292,268856,484651," DAOP 1 (Jakarta), DAOP 3 (Cirebon), DAOP 4 (Semarang) , DAOP 5 (Purwokerto), DAOP 6 (Yogyakarta), DAOP 7 (Madiun),  DAOP 8 (Surabaya), DAOP 9 (Jember)  "
8,Agustus,199545,10777,261889,472211," DAOP 1 (Jakarta), DAOP 3 (Cirebon), DAOP 4 (Semarang) , DAOP 5 (Purwokerto), DAOP 6 (Yogyakarta), DAOP 7 (Madiun),  DAOP 8 (Surabaya), DAOP 9 (Jember)  "
9,September,188253,9868,235161,433282," DAOP 1 (Jakarta), DAOP 3 (Cirebon), DAOP 4 (Semarang) , DAOP 5 (Purwokerto), DAOP 6 (Yogyakarta), DAOP 7 (Madiun),  DAOP 8 (Surabaya), DAOP 9 (Jember)  "
10,Oktober,191795,9758,235187,436740," DAOP 1 (Jakarta), DAOP 3 (Cirebon), DAOP 4 (Semarang) , DAOP 5 (Purwokerto), DAOP 6 (Yogyakarta), DAOP 7 (Madiun),  DAOP 8 (Surabaya), DAOP 9 (Jember)  "
11,November,204082,8879,253299,466260," DAOP 1 (Jakarta), DAOP 3 (Cirebon), DAOP 4 (Semarang) , DAOP 5 (Purwokerto), DAOP 6 (Yogyakarta), DAOP 7 (Madiun),  DAOP 8 (Surabaya), DAOP 9 (Jember)  "
12,Desember,205587,15111,248665,469363," DAOP 1 (Jakarta), DAOP 3 (Cirebon), DAOP 4 (Semarang) , DAOP 5 (Purwokerto), DAOP 6 (Yogyakarta), DAOP 7 (Madiun),  DAOP 8 (Surabaya), DAOP 9 (Jember)  "
